sample	segment_title	gene	key	gene_order	identity	sql_ratio
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002053|1	False	106238	96.9	0.25083986562150057
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002053|2	False	106952	97.0	0.5162374020156775
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002053|3	False	108371	92.3	0.20492721164613661
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002054|1	False	109163	94.4	0.3262411347517731
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002054|2	False	109550	95.7	0.3333333333333333
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002055|1	False	110213	97.4	0.7579365079365079
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002056|1	False	110920	98.1	1.0408602150537634
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002057|1	False	112423	94.7	1.002309468822171
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002058|1	False	113753	96.8	0.24085365853658536
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002058|2	False	114263	95.4	0.5929878048780488
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002058|3	False	115442	95.7	0.14329268292682926
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002059|1	False	115757	97.9	0.46563814866760167
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002059|2	False	116756	100.0	0.06732117812061711
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002060|1	False	116911	96.4	0.1346704871060172
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002060|2	False	117493	58.0	0.4976122254059217
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002061|1	False	119045	96.3	1.002469135802469
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002062|1	False	120275	89.3	0.8181818181818182
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002063|1	False	121317	95.6	1.1946902654867257
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002052|3	False	121935	95.9	1.0025510204081634
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002065|1	False	123138	97.6	1.0120481927710843
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002066|1	False	123447	97.6	0.5461538461538461
