#BGC Name	Clan Number	Family Number
JABVZJ010000017.region001	495	5626
JAMFMO010000008.region001	495	5626
JAMFMP010000027.region001	495	5626
JAMFMR010000003.region003	495	5626
JAMFMS010000009.region001	495	5626
JAMFMT010000029.region001	495	5626
JAMFMU010000030.region001	495	5626
JAMFMV010000005.region001	495	5626
JAMFMW010000019.region001	495	5626
JAMFMX010000012.region003	495	5626
JANAXD010000046.region001	495	5626
JANAXE010000001.region002	495	5626
JANAXF010000048.region001	495	5626
JANAXG010000011.region001	495	5626
JANAXH010000053.region001	495	5626
JANAXI010000055.region001	495	5626
JANAXJ010000027.region001	495	5626
JANAXK010000025.region001	495	5626
JANAXM010000005.region002	495	5626
JANAXN010000011.region002	495	5626
JANAXQ010000057.region001	495	5626
JANAXR010000007.region001	495	5626
JANAXS010000045.region001	495	5626
JANAXU010000011.region001	495	5626
JANAXV010000022.region001	495	5626
JANAXW010000020.region001	495	5626
JANAXX010000020.region001	495	5626
JANAYB010000051.region001	495	5626
JANAYD010000062.region001	495	5626
JANAYF010000134.region001	495	5626
JANAYG010000044.region001	495	5626
JANAYH010000045.region002	495	5626
JANAYM010000057.region001	495	5626
JANAYP010000044.region001	495	5626
JANAYR010000020.region001	495	5626
JANAYS010000002.region002	495	5626
JANAYT010000047.region001	495	5626
JANAYU010000119.region001	495	5626
JANAYV010000049.region001	495	5626
JANAYX010000051.region001	495	5626
JANAZB010000131.region001	495	5626
JANAZC010000053.region001	495	5626
JANAZD010000007.region002	495	5626
JANAZK010000002.region001	495	5626
JANAZL010000047.region001	495	5626
JANAZN010000015.region001	495	5626
JANAZO010000062.region001	495	5626
JANAZP010000007.region001	495	5626
JANAZS010000063.region001	495	5626
JANAZU010000058.region001	495	5626
JANAZX010000052.region001	495	5626
JANAZY010000056.region001	495	5626
JANBAB010000061.region001	495	5626
JANBAC010000023.region001	495	5626
JANBAF010000052.region001	495	5626
JANBAJ010000014.region001	495	5626
JANBAK010000047.region002	495	5626
JANBAL010000044.region001	495	5626
JANBAM010000055.region001	495	5626
JANBAN010000009.region002	495	5626
JANBAO010000044.region002	495	5626
JANCNW010000114.region001	495	5626
LIZJ01000062.1.region002	495	5626
LLET01000044.1.region002	495	5626
LOAN01000141.1.region001	495	5626
NKQQ01000113.1.region001	495	5626
NPKL01000047.1.region002	495	5626
NWUI02000123.1.region001	495	5626
RAWY01000083.1.region001	495	5626
RAWZ01000217.1.region001	495	5626
RAXB01000085.1.region001	495	5626
RAXD01000058.1.region001	495	5626
RAXE01000149.1.region001	495	5626
RAXF01000104.1.region001	495	5626
RAXG01000057.1.region001	495	5626
RAXH01000082.1.region001	495	5626
RAXK01000023.1.region001	495	5626
RAXN01000053.1.region001	495	5626
RAXO01000064.1.region001	495	5626
RAXP01000203.1.region001	495	5626
RAXQ01000153.1.region001	495	5626
RAXR01000175.1.region001	495	5626
SJEZ01000019.1.region001	495	5626
SJFA01000013.1.region005	495	5626
SJFG01000064.1.region002	495	5626
SJFJ01000018.1.region003	495	5626
SKBZ01000010.1.region002	495	5626
VYXI01000385.1.region001	495	5626
VYXK01000469.1.region001	495	5626
CP051072.1.region004	495	5631
JABVYR010000110.region001	495	5631
JABVYS010000110.region001	495	5631
JABVZB010000086.region001	495	5631
JABVZC010000106.region002	495	5631
JABVZF010000090.region002	495	5631
JABVZJ010000275.region001	495	5631
JALMFT010000014.region001	495	5631
JAMFMO010000013.region001	495	5631
JAMFMR010000007.region005	495	5631
JAMFMU010000013.region004	495	5631
JAMFMV010000006.region001	495	5631
JAMFMW010000006.region004	495	5631
JANAXD010000006.region003	495	5631
JANAXE010000086.region001	495	5631
JANAXF010000084.region001	495	5631
JANAXG010000087.region002	495	5631
JANAXH010000007.region003	495	5631
JANAXI010000039.region002	495	5631
JANAXJ010000045.region001	495	5631
JANAXM010000089.region001	495	5631
JANAXN010000048.region002	495	5631
JANAXQ010000087.region002	495	5631
JANAXR010000034.region002	495	5631
JANAXS010000061.region002	495	5631
JANAXV010000088.region001	495	5631
JANAYB010000077.region001	495	5631
JANAYD010000026.region003	495	5631
JANAYF010000020.region001	495	5631
JANAYG010000081.region001	495	5631
JANAYM010000004.region003	495	5631
JANAYP010000003.region003	495	5631
JANAYR010000008.region003	495	5631
JANAYS010000085.region002	495	5631
JANAYT010000044.region001	495	5631
JANAYU010000091.region001	495	5631
JANAYV010000091.region001	495	5631
JANAYX010000042.region002	495	5631
JANAZB010000011.region003	495	5631
JANAZC010000085.region002	495	5631
JANAZD010000044.region001	495	5631
JANAZK010000089.region001	495	5631
JANAZL010000091.region002	495	5631
JANAZN010000088.region001	495	5631
JANAZO010000090.region001	495	5631
JANAZP010000089.region001	495	5631
JANAZS010000087.region001	495	5631
JANAZU010000085.region001	495	5631
JANAZX010000092.region002	495	5631
JANAZY010000007.region001	495	5631
JANBAB010000074.region001	495	5631
JANBAC010000086.region002	495	5631
JANBAF010000006.region003	495	5631
JANBAJ010000119.region001	495	5631
JANBAL010000105.region001	495	5631
JANBAM010000036.region001	495	5631
JANBAN010000088.region001	495	5631
JANCNW010000014.region003	495	5631
LOAN01000077.1.region002	495	5631
NKQQ01000025.1.region001	495	5631
NLCN01000098.1.region001	495	5631
NWUI02000144.1.region001	495	5631
RAWY01000037.1.region001	495	5631
RAWZ01000066.1.region001	495	5631
RAXB01000011.1.region001	495	5631
RAXD01000073.1.region001	495	5631
RAXE01000064.1.region001	495	5631
RAXF01000173.1.region001	495	5631
RAXG01000142.1.region001	495	5631
RAXH01000179.1.region003	495	5631
RAXK01000122.1.region006	495	5631
RAXM01000178.1.region001	495	5631
RAXN01000216.1.region001	495	5631
RAXO01000619.1.region003	495	5631
RAXP01000215.1.region003	495	5631
RAXQ01000164.1.region001	495	5631
RAXR01000152.1.region001	495	5631
SJEZ01000030.1.region001	495	5631
SJFA01000004.1.region001	495	5631
SJFG01000003.1.region005	495	5631
SJFJ01000015.1.region004	495	5631
SKBZ01000011.1.region002	495	5631
VYXI01000895.1.region001	495	5631
JABVZJ010000031.region001	495	5903
JABVZK010000957.region001	495	6043
LOAM01000415.1.region001	495	6043
LOAO01000483.1.region001	495	6043
BEXS01000786.1.region001	495	6046
JABVZK010001008.region001	495	6046
JANAXK010000311.region001	495	6046
JANAYI010000373.region001	495	6046
JANAYN010000360.region001	495	6046
JANAYW010000340.region001	495	6046
JANAZJ010000347.region001	495	6046
JANBAH010000159.region001	495	6046
JANBAK010000390.region001	495	6046
JANBAP010000413.region001	495	6046
LOAQ01003582.1.region001	495	6046
JABVYV010000423.region001	495	6048
JABVZK010001145.region001	495	6048
NWUG02000524.1.region001	495	6048
BEXC01000265.1.region002	495	6123
BEXK01000040.1.region002	495	6123
BEXL01000319.1.region001	495	6123
BEXM01000074.1.region001	495	6123
BEXN01000084.1.region002	495	6123
BEXO01000133.1.region002	495	6123
BEXP01000004.1.region002	495	6123
BEXQ01000041.1.region002	495	6123
BEXR01000364.1.region001	495	6123
BEXS01000262.1.region001	495	6123
CM030975.1.region005	495	6123
CP044623.1.region007	495	6123
CP047254.1.region008	495	6123
CP051024.1.region005	495	6123
CP051032.1.region005	495	6123
CP051040.1.region005	495	6123
CP051048.1.region005	495	6123
CP051056.1.region006	495	6123
CP051064.1.region005	495	6123
CP051080.1.region005	495	6123
CP051088.1.region005	495	6123
CP051096.1.region005	495	6123
CP059863.1.region005	495	6123
CP059871.1.region005	495	6123
CP061809.2.region005	495	6123
CP082259.1.region005	495	6123
JABVYT010000197.region001	495	6123
JABVYU010000100.region001	495	6123
JABVYV010000077.region001	495	6123
JABVYW010000070.region001	495	6123
JABVYX010000098.region001	495	6123
JABVYY010000128.region001	495	6123
JABVYZ010000148.region001	495	6123
JABVZA010000102.region001	495	6123
JABVZD010000106.region002	495	6123
JABVZE010000106.region001	495	6123
JABVZG010000131.region001	495	6123
JABVZH010000092.region001	495	6123
JABVZI010000055.region002	495	6123
JABVZK010000139.region001	495	6123
JAGYXF010000068.region004	495	6123
JAMFMQ010000016.region001	495	6123
JANAXC010000005.region003	495	6123
JANAXK010000008.region001	495	6123
JANAXL010000074.region002	495	6123
JANAXP010000039.region002	495	6123
JANAXT010000025.region001	495	6123
JANAXU010000148.region001	495	6123
JANAXW010000046.region002	495	6123
JANAXX010000131.region001	495	6123
JANAXY010000072.region001	495	6123
JANAXZ010000018.region001	495	6123
JANAYA010000025.region003	495	6123
JANAYC010000023.region003	495	6123
JANAYE010000072.region001	495	6123
JANAYH010000001.region004	495	6123
JANAYI010000138.region001	495	6123
JANAYJ010000064.region001	495	6123
JANAYK010000034.region002	495	6123
JANAYL010000033.region001	495	6123
JANAYN010000030.region001	495	6123
JANAYO010000022.region001	495	6123
JANAYQ010000015.region001	495	6123
JANAYW010000191.region001	495	6123
JANAYY010000079.region002	495	6123
JANAYZ010000013.region001	495	6123
JANAZA010000055.region002	495	6123
JANAZE010000201.region001	495	6123
JANAZF010000037.region001	495	6123
JANAZG010000195.region001	495	6123
JANAZH010000034.region002	495	6123
JANAZI010000023.region003	495	6123
JANAZJ010000058.region001	495	6123
JANAZM010000033.region001	495	6123
JANAZQ010000078.region001	495	6123
JANAZR010000029.region003	495	6123
JANAZT010000070.region001	495	6123
JANAZV010000070.region002	495	6123
JANAZZ010000012.region003	495	6123
JANBAA010000117.region002	495	6123
JANBAD010000015.region003	495	6123
JANBAE010000069.region001	495	6123
JANBAG010000080.region002	495	6123
JANBAH010000135.region001	495	6123
JANBAI010000004.region001	495	6123
JANBAK010000070.region001	495	6123
JANBAO010000072.region001	495	6123
JANBAP010000024.region002	495	6123
JANCNX010000024.region001	495	6123
JANCNY010000036.region001	495	6123
JAOAMT010000050.region001	495	6123
JZDT01000187.1.region001	495	6123
LIZI01000286.1.region001	495	6123
LIZJ01000317.1.region001	495	6123
LLET01000144.1.region001	495	6123
LOAK01000292.1.region001	495	6123
LOAL01000185.1.region001	495	6123
LOAM01000211.1.region001	495	6123
LOAO01000104.1.region001	495	6123
ML734583.1.region003	495	6123
NKQP01000091.1.region001	495	6123
NLCI01000160.1.region004	495	6123
NLCJ01000161.1.region001	495	6123
NLCK01000067.1.region001	495	6123
NLCL01000058.1.region001	495	6123
NLCM01000143.1.region001	495	6123
NPKL01000003.1.region001	495	6123
NWUG02000559.1.region002	495	6123
NWUH02000265.1.region001	495	6123
QQZZ01000104.1.region001	495	6123
RAXC01000015.1.region004	495	6123
RAXI01000095.1.region001	495	6123
RAXJ01000183.1.region001	495	6123
RAXL01000092.1.region001	495	6123
SESK01000060.1.region002	495	6123
SJFD01000002.1.region004	495	6123
SJFH01000012.1.region004	495	6123
SJFI01000027.1.region003	495	6123
SJFL01000005.1.region004	495	6123
SKBW01000046.1.region004	495	6123
SKBX01000009.1.region001	495	6123
SKBY01000035.1.region001	495	6123
VYXJ01000018.1.region001	495	6123
VYXK01000089.1.region002	495	6123
VYXL01000072.1.region002	495	6123
BEXP01000259.1.region001	495	6647
CP051071.1.region008	495	6647
CP082258.1.region009	495	6647
JABVYS010000137.region001	495	6647
JABVYT010000039.region001	495	6647
JABVYY010000077.region001	495	6647
JABVZA010000072.region001	495	6647
JABVZB010000129.region001	495	6647
JABVZC010000050.region002	495	6647
JABVZE010000039.region001	495	6647
